#separator:tab
#html:false
#tags column:3
caer(se)	to fall down	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
cansar(se)	to tire, to get tired	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
contagiar(se)	to catch / to contract	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
cuidar(se)	to take care of oneself	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
curar(se)	to heal (oneself)	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
enfermar(se)	to make (get) sick	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
lastimar(se)	to injure (oneself)	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
lavar(se) las manos	to wash one's hands	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
marear(se)	to get dizzy	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
mantener(se) (e:ie) en forma	to stay in good shape	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
mejorarse	to get better	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
preocupar(se) (por)	to worry (about)	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
sentirse (e:ie)	to feel	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
torcerse (o:ue)	to twist / to sprain	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
adelgazar	to lose weight	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
deber	to ought to (do something) / should	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
descansar	to rest	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
engordar	to gain weight	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
estornudar	to sneeze	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
evitar	to avoid	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
guardar cama	to stay in bed	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
respirar	to breathe	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
sudar	to sweat	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
toser	to cough	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
tratar de (+ infinitive)	to try to (do something)	Contrasena::lessons::u7_health_verbs Contrasena::sections::la_salud_y_el_bienestar
