#separator:tab
#html:false
#tags column:3
caer	to fall	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
dar	to give	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
hacer	to do / to make	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
poner	to put / to place	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
salir	to leave / to go out	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
traer	to bring	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
suponer	to suppose	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
ver	to see	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
decir	to say / to tell	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
contener	to contain	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
mantener	to maintain / to keep	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
prevenir	to prevent	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
tener	to have	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
seguir	to follow	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
venir	to come	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
oír	to hear	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
construir	to build	Contrasena::lessons::u7_irregular_verbs Contrasena::sections::verbos_irregulares
