#separator:tab
#html:false
#tags column:3
aki	aquí	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
bbr	beber	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
dim	dime	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
k	que/qué	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
nos	nosotros/nosotras	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
pa	para	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
xq	por qué/ porque	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
ta	está	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
tb	también	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
xfa	por fa(vor)	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
b	bien	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
d	de	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
hl	hasta luego	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
pf	por favor	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
pq	por qué/ porque	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
q	que/qué	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
t	te	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
a10	adiós	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
a2	adiós	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
amig@s	amigos y amigas	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
m1m	mándame un mensaje	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
salu2	saludos	Contrasena::lessons::u16_16_01 Contrasena::sections::unknown	
