#separator:tab
#html:false
#tags column:3
¡Buenos días!	Good morning!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::los_saludos
¡Buenas tardes!	Good afternoon!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::los_saludos
¡Buenas noches!	Good evening!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::los_saludos
¡Hola!	Hi!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::los_saludos
¡Adiós! / ¡Chau!	Goodbye! /Bye!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_despedidas
¡Hasta luego!	See you later!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_despedidas
¡Hasta mañana!	See you tomorrow!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_despedidas
¡Hasta pronto!	See you soon!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_despedidas
¡Nos vemos!	See you!	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_despedidas
¿Cómo se llama (usted) / Cómo te llamas (tú)?	What is your name? (formal / informal)	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Me llamo…	My name is…	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Cómo está (usted)? / ¿Cómo estás (tú)?	How are you? (formal / informal)	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Qué pasa? / ¿Qué hay de nuevo?	What’s up? / What’s new?	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Qué tal?	How are you?	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Muy bien./ No Muy bien.	Very well./Not Very well.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Regular. / Así así.	OK.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿De dónde es (usted)? / ¿De dónde eres (tú)?	Where are you from? (formal / informal)	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Soy de…	I’m from…	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Qué estudia (usted) / Qué estudias (tú)?	What do you study? (formal / informal)	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Estudio…	I study...	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Cuál es su especialización / ¿Cuál es tu especialización?	What‘s your major?	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Mi especialización es…	My major is…	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
No sé.	I don’t know.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
¿Y usted / tú?	And you? (formal / informal)	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Gracias.	Thank you.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Mucho gusto.	Pleased to meet you.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
Igualmente.	Likewise.	Contrasena::lessons::u2_02_04v2 Contrasena::sections::las_preguntas_y_respuestas
