#separator:tab
#html:false
#tags column:3
hablaba	hablar — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
hablabas	hablar — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
hablaba	hablar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
hablábamos	hablar — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
hablabais	hablar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
hablaban	hablar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::hablar	
comía	comer — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
comías	comer — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
comía	comer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
comíamos	comer — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
comíais	comer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
comían	comer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::comer	
vivía	vivir — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
vivías	vivir — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
vivía	vivir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
vivíamos	vivir — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
vivíais	vivir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
vivían	vivir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::vivir	
iba	ir — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
ibas	ir — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
iba	ir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
íbamos	ir — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
ibais	ir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
iban	ir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ir	
era	ser — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
eras	ser — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
era	ser — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
éramos	ser — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
erais	ser — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
eran	ser — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ser	
veía	ver — yo (I)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
veías	ver — tú (you, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
veía	ver — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
veíamos	ver — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
veíais	ver — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
veían	ver — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_imperfect_review Contrasena::sections::ver	
