#separator:tab
#html:false
#tags column:3
hablé	hablar — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
hablaste	hablar — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
habló	hablar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
hablamos	hablar — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
hablasteis	hablar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
hablaron	hablar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::hablar
comí	comer — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
comiste	comer — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
comió	comer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
comimos	comer — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
comisteis	comer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
comieron	comer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::comer
viví	vivir — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
viviste	vivir — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
vivió	vivir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
vivimos	vivir — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
vivisteis	vivir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
vivieron	vivir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::vivir
traje	traer — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
trajiste	traer — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
trajo	traer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
trajimos	traer — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
trajisteis	traer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
trajeron	traer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::traer
busqué	buscar — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
buscaste	buscar — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
buscó	buscar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
buscamos	buscar — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
buscasteis	buscar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
buscaron	buscar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::buscar
pagué	pagar — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
pagaste	pagar — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
pagó	pagar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
pagamos	pagar — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
pagasteis	pagar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
pagaron	pagar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::pagar
empecé	empezar — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
empezaste	empezar — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
empezó	empezar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
empezamos	empezar — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
empezasteis	empezar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
empezaron	empezar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::empezar
creí	creer — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
creíste	creer — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
creyó	creer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
creímos	creer — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
creísteis	creer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
creyeron	creer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::creer
leí	leer — yo (I)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::leer
leíste	leer — tú (you, informal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::leer
leyó	leer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::leer
leímos	leer — nosotros/nosotras (we)	Contrasena::lessons::grammar_13_preterite_review Contrasena::sections::leer
