#separator:tab
#html:false
#tags column:3
he	haber — yo (I)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
has	haber — tú (you, informal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
ha	haber — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
hemos	haber — nosotros/nosotras (we)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
habéis	haber — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
han	haber — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
había	haber — yo (I)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
habías	haber — tú (you, informal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
había	haber — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
habíamos	haber — nosotros/nosotras (we)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
habíais	haber — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
habían	haber — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_15_2 Contrasena::sections::haber	
