#separator:tab
#html:false
#tags column:3
soy	ser — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
eres	ser — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
es	ser — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
somos	ser — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
sois	ser — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
son	ser — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ser	
estoy	estar — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
estás	estar — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
está	estar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
estamos	estar — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
estáis	estar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
están	estar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::estar	
voy	ir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
vas	ir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
va	ir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
vamos	ir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
vais	ir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
van	ir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ir	
he	haber — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
has	haber — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
ha	haber — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
hemos	haber — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
habéis	haber — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
han	haber — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::haber	
tengo	tener — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
tienes	tener — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
tiene	tener — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
tenemos	tener — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
tenéis	tener — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
tienen	tener — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::tener	
vengo	venir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
vienes	venir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
viene	venir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
venimos	venir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
venís	venir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
vienen	venir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::venir	
digo	decir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
dices	decir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
dice	decir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
decimos	decir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
decís	decir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
dicen	decir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::decir	
oigo	oír — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
oyes	oír — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
oye	oír — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
oímos	oír — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
oís	oír — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
oyen	oír — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::oír	
sigo	seguir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
sigues	seguir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
sigue	seguir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
seguimos	seguir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
seguís	seguir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
siguen	seguir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::seguir	
construyo	construir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
construyes	construir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
construye	construir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
construimos	construir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
construís	construir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
construyen	construir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::construir	
doy	dar — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
das	dar — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
da	dar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
damos	dar — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
dais	dar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
dan	dar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::dar	
veo	ver — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
ves	ver — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
ve	ver — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
vemos	ver — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
veis	ver — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
ven	ver — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::ver	
hago	hacer — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
haces	hacer — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
hace	hacer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
hacemos	hacer — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
hacéis	hacer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
hacen	hacer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::hacer	
pongo	poner — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
pones	poner — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
pone	poner — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
ponemos	poner — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
ponéis	poner — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
ponen	poner — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::poner	
salgo	salir — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
sales	salir — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
sale	salir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
salimos	salir — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
salís	salir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
salen	salir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::salir	
traigo	traer — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
traes	traer — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
trae	traer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
traemos	traer — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
traéis	traer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
traen	traer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::traer	
caigo	caer — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
caes	caer — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
cae	caer — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
caemos	caer — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
caéis	caer — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
caen	caer — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::caer	
sé	saber — yo (I)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::saber	
sabes	saber — tú (you, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::saber	
sabe	saber — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::saber	
sabemos	saber — nosotros/nosotras (we)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::saber	
sabéis	saber — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_7_present_irregulars_review Contrasena::sections::saber	
