#separator:tab
#html:false
#tags column:3
la cabeza	head	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la cara	face	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la boca	mouth	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la garganta	throat	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la nariz	nose	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el oído / la oreja	inner ear / outer ear	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el ojo	eye	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el brazo	arm	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la espalda	back	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el estómago	stomach	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la mano	hand	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el pie	foot	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el dedo de la mano / el dedo del pie	finger / toe	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la pierna	leg	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la rodilla	knee	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el tobillo	ankle	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el cerebro	brain	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el corazón	heart	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
el hueso	bone	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
los pulmones	lungs	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
la sangre	blood	Contrasena::lessons::u9_v1 Contrasena::sections::las_partes_del_cuerpo	
